DogID,Weight (kg),Date,Hour,Behaviour Pattern,Activity Level (steps),Heart Rate (bpm),Calorie Burn,Temperature (C),Food Intake (calories),Water Intake (ml),Breathing Rate (breaths/min),Barking Frequency
CANINE001,7.2,01-01-2021,18,Normal,236,104,9.8,28.0,0.0,4.6,23,Low
CANINE001,7.2,01-01-2021,19,Walking,1180,132,37.0,31.6,0.0,0.0,35,None
CANINE001,7.2,01-01-2021,20,Normal,427,106,14.3,26.7,0.0,2.0,20,None
CANINE001,7.2,01-01-2021,21,Normal,270,114,10.8,27.1,0.0,19.5,16,Low
CANINE001,7.2,01-01-2021,22,Sleeping,0,105,2.0,26.8,0.0,0.0,17,None
CANINE001,7.2,01-01-2021,23,Sleeping,0,108,3.0,24.9,0.0,0.0,18,None
CANINE001,7.2002,02-01-2021,0,Sleeping,0,106,2.0,25.6,0.0,0.0,15,None
CANINE001,7.2002,02-01-2021,1,Sleeping,0,108,1.0,26.6,0.0,0.0,20,None
CANINE001,7.2002,02-01-2021,2,Sleeping,0,113,3.0,25.7,0.0,0.0,17,None
CANINE001,7.2002,02-01-2021,3,Sleeping,0,112,2.0,27.3,0.0,0.0,19,None
CANINE001,7.2002,02-01-2021,4,Sleeping,0,105,3.0,26.9,0.0,0.0,15,None
CANINE001,7.2002,02-01-2021,5,Sleeping,0,106,2.0,24.8,0.0,0.0,15,None
CANINE001,7.2002,02-01-2021,6,Sleeping,0,107,2.0,25.2,0.0,0.0,17,None
CANINE001,7.2002,02-01-2021,7,Sleeping,0,106,3.0,27.4,0.0,0.0,18,None
CANINE001,7.2002,02-01-2021,8,Sleeping,0,111,3.0,27.1,0.0,0.0,17,None
CANINE001,7.2002,02-01-2021,9,Walking,2143,121,62.7,34.9,0.0,0.0,27,None
CANINE001,7.2002,02-01-2021,10,Eating,247,106,9.1,27.5,196.0,87.2,18,None
CANINE001,7.2002,02-01-2021,11,Sleeping,0,105,2.0,26.7,0.0,0.0,17,None
CANINE001,7.2002,02-01-2021,12,Normal,354,104,11.2,25.4,0.0,15.8,24,None
CANINE001,7.2002,02-01-2021,13,Normal,364,114,11.5,28.4,0.0,5.7,26,Low
CANINE001,7.2002,02-01-2021,14,Playing,974,120,30.1,30.0,0.0,0.0,31,Medium
CANINE001,7.2002,02-01-2021,15,Walking,1061,122,33.6,33.6,0.0,0.0,27,High
CANINE001,7.2002,02-01-2021,16,Walking,1277,121,38.8,33.0,0.0,0.0,33,High
CANINE001,7.2002,02-01-2021,17,Normal,353,107,13.2,26.0,0.0,14.1,24,None
CANINE001,7.2002,02-01-2021,18,Normal,243,111,10.0,26.9,0.0,54.5,24,None
CANINE001,7.2002,02-01-2021,19,Eating,130,109,6.7,29.1,151.9,111.2,22,None
CANINE001,7.2002,02-01-2021,20,Playing,1627,129,49.9,29.7,0.0,0.0,35,High
CANINE001,7.2002,02-01-2021,21,Eating,265,110,8.6,24.8,114.4,94.5,24,None
CANINE001,7.2002,02-01-2021,22,Normal,340,104,11.8,27.5,0.0,24.1,20,Low
CANINE001,7.2002,02-01-2021,23,Playing,479,123,14.8,27.9,0.0,0.0,35,High
CANINE001,7.2167,03-01-2021,0,Sleeping,0,105,2.0,26.5,0.0,0.0,18,None
CANINE001,7.2167,03-01-2021,1,Sleeping,0,109,1.0,26.3,0.0,0.0,16,None
CANINE001,7.2167,03-01-2021,2,Sleeping,0,102,1.0,25.2,0.0,0.0,16,None
CANINE001,7.2167,03-01-2021,3,Sleeping,0,103,2.0,24.8,0.0,0.0,19,None
CANINE001,7.2167,03-01-2021,4,Sleeping,0,113,2.0,26.2,0.0,0.0,19,None
CANINE001,7.2167,03-01-2021,5,Sleeping,0,109,1.0,26.2,0.0,0.0,16,None
CANINE001,7.2167,03-01-2021,6,Sleeping,0,104,2.0,25.5,0.0,0.0,19,None
CANINE001,7.2167,03-01-2021,7,Sleeping,0,101,2.0,26.4,0.0,0.0,16,None
CANINE001,7.2167,03-01-2021,8,Sleeping,0,111,2.0,26.1,0.0,0.0,18,None
CANINE001,7.2167,03-01-2021,9,Walking,2344,131,70.7,33.9,0.0,0.0,37,Medium
CANINE001,7.2167,03-01-2021,10,Normal,540,112,16.6,26.7,0.0,55.0,16,None
CANINE001,7.2167,03-01-2021,11,Eating,348,111,11.0,26.2,169.0,69.7,25,None
CANINE001,7.2167,03-01-2021,12,Normal,305,111,10.8,26.6,0.0,32.8,20,None
CANINE001,7.2167,03-01-2021,13,Normal,399,102,14.5,26.8,0.0,5.8,20,None
CANINE001,7.2167,03-01-2021,14,Walking,2839,137,84.0,32.2,0.0,0.0,29,Medium
CANINE001,7.2167,03-01-2021,15,Walking,2840,129,85.0,31.7,0.0,0.0,30,Low
CANINE001,7.2167,03-01-2021,16,Normal,561,108,17.2,26.9,0.0,14.6,24,Low
CANINE001,7.2167,03-01-2021,17,Normal,282,111,11.1,25.8,0.0,27.3,26,None
CANINE001,7.2167,03-01-2021,18,Eating,179,110,6.2,26.9,113.3,94.5,22,None
CANINE001,7.2167,03-01-2021,19,Normal,384,114,13.1,27.0,0.0,59.9,20,Low
CANINE001,7.2167,03-01-2021,20,Normal,300,108,10.7,28.0,0.0,3.1,17,None
CANINE001,7.2167,03-01-2021,21,Eating,354,106,11.2,27.3,198.6,32.7,23,None
CANINE001,7.2167,03-01-2021,22,Sleeping,0,109,1.0,25.8,0.0,0.0,17,None
CANINE001,7.2167,03-01-2021,23,Sleeping,0,102,1.0,24.6,0.0,0.0,17,None
CANINE001,7.23,04-01-2021,0,Sleeping,0,106,2.0,25.8,0.0,0.0,15,None
CANINE001,7.23,04-01-2021,1,Sleeping,0,112,3.0,24.8,0.0,0.0,16,None
CANINE001,7.23,04-01-2021,2,Sleeping,0,103,3.0,26.1,0.0,0.0,17,None
CANINE001,7.23,04-01-2021,3,Sleeping,0,103,2.0,26.4,0.0,0.0,16,None
CANINE001,7.23,04-01-2021,4,Sleeping,0,109,1.0,27.2,0.0,0.0,19,None
CANINE001,7.23,04-01-2021,5,Sleeping,0,111,2.0,25.7,0.0,0.0,19,None
CANINE001,7.23,04-01-2021,6,Sleeping,0,107,1.0,25.5,0.0,0.0,18,None
CANINE001,7.23,04-01-2021,7,Sleeping,0,109,2.0,27.0,0.0,0.0,17,None
CANINE001,7.23,04-01-2021,8,Eating,317,108,12.2,25.9,165.8,37.7,25,None
CANINE001,7.23,04-01-2021,9,Walking,900,116,27.0,32.3,0.0,0.0,37,Medium
CANINE001,7.23,04-01-2021,10,Sleeping,0,109,1.0,25.5,0.0,0.0,19,None
CANINE001,7.23,04-01-2021,11,Sleeping,0,108,2.0,27.5,0.0,0.0,16,None
CANINE001,7.23,04-01-2021,12,Sleeping,0,112,3.0,27.3,0.0,0.0,20,None
CANINE001,7.23,04-01-2021,13,Normal,270,104,8.8,26.7,0.0,41.6,26,Low
CANINE001,7.23,04-01-2021,14,Normal,307,104,10.9,28.6,0.0,13.5,27,Low
CANINE001,7.23,04-01-2021,15,Normal,279,109,9.1,26.8,0.0,39.5,26,Low
CANINE001,7.23,04-01-2021,16,Eating,204,107,7.9,26.8,198.5,130.6,24,None
CANINE001,7.23,04-01-2021,17,Sleeping,0,111,1.0,27.3,0.0,0.0,20,None
CANINE001,7.23,04-01-2021,18,Normal,490,106,16.2,27.7,0.0,2.1,24,None
CANINE001,7.23,04-01-2021,19,Walking,3133,121,92.6,31.6,0.0,0.0,32,High
CANINE001,7.23,04-01-2021,20,Normal,408,114,12.8,25.7,0.0,14.1,24,None
CANINE001,7.23,04-01-2021,21,Normal,209,106,9.0,27.7,0.0,45.1,24,Low
CANINE001,7.23,04-01-2021,22,Normal,410,112,14.9,27.9,0.0,28.0,17,None
CANINE001,7.23,04-01-2021,23,Sleeping,0,106,1.0,25.5,0.0,0.0,20,None
CANINE001,7.2454,05-01-2021,0,Sleeping,0,104,1.0,24.6,0.0,0.0,18,None
CANINE001,7.2454,05-01-2021,1,Sleeping,0,108,3.0,26.4,0.0,0.0,15,None
CANINE001,7.2454,05-01-2021,2,Sleeping,0,107,2.0,27.0,0.0,0.0,15,None
CANINE001,7.2454,05-01-2021,3,Sleeping,0,107,3.0,25.9,0.0,0.0,16,None
CANINE001,7.2454,05-01-2021,4,Sleeping,0,109,3.0,24.8,0.0,0.0,16,None
CANINE001,7.2454,05-01-2021,5,Sleeping,0,104,3.0,25.1,0.0,0.0,15,None
CANINE001,7.2454,05-01-2021,6,Sleeping,0,101,1.0,25.1,0.0,0.0,16,None
CANINE001,7.2454,05-01-2021,7,Eating,240,109,9.0,28.3,168.6,37.5,23,None
CANINE001,7.2454,05-01-2021,8,Walking,2889,135,85.7,29.1,0.0,0.0,29,Low
CANINE001,7.2454,05-01-2021,9,Normal,358,110,11.4,26.9,0.0,58.9,18,None
CANINE001,7.2454,05-01-2021,10,Normal,392,115,14.4,28.5,0.0,14.4,16,None
CANINE001,7.2454,05-01-2021,11,Normal,361,113,11.5,27.2,0.0,33.1,23,None
CANINE001,7.2454,05-01-2021,12,Normal,374,108,13.8,25.9,0.0,5.0,21,Low
CANINE001,7.2454,05-01-2021,13,Normal,193,107,7.6,25.2,0.0,45.8,16,Low
CANINE001,7.2454,05-01-2021,14,Normal,300,111,9.7,27.3,0.0,57.4,21,Low
CANINE001,7.2454,05-01-2021,15,Normal,268,109,9.8,25.3,0.0,4.6,22,None
CANINE001,7.2454,05-01-2021,16,Eating,132,114,4.8,24.8,186.9,103.8,27,None
CANINE001,7.2454,05-01-2021,17,Normal,325,110,10.4,26.7,0.0,18.7,23,None
CANINE001,7.2454,05-01-2021,18,Sleeping,0,111,1.0,24.6,0.0,0.0,16,None
CANINE001,7.2454,05-01-2021,19,Normal,295,109,10.5,27.4,0.0,4.6,21,Low
CANINE001,7.2454,05-01-2021,20,Walking,2185,123,65.3,31.5,0.0,0.0,32,High
CANINE001,7.2454,05-01-2021,21,Sleeping,0,111,1.0,27.0,0.0,0.0,16,None
CANINE001,7.2454,05-01-2021,22,Sleeping,0,105,1.0,25.6,0.0,0.0,19,None
CANINE001,7.2454,05-01-2021,23,Sleeping,0,107,1.0,24.8,0.0,0.0,19,None
CANINE001,7.2547,06-01-2021,0,Sleeping,0,103,3.0,25.4,0.0,0.0,20,None
CANINE001,7.2547,06-01-2021,1,Sleeping,0,101,1.0,26.9,0.0,0.0,20,None
CANINE001,7.2547,06-01-2021,2,Sleeping,0,113,1.0,26.8,0.0,0.0,20,None
CANINE001,7.2547,06-01-2021,3,Sleeping,0,109,2.0,24.7,0.0,0.0,15,None
CANINE001,7.2547,06-01-2021,4,Sleeping,0,111,1.0,24.8,0.0,0.0,17,None
CANINE001,7.2547,06-01-2021,5,Sleeping,0,112,2.0,26.0,0.0,0.0,16,None
CANINE001,7.2547,06-01-2021,6,Sleeping,0,109,2.0,25.5,0.0,0.0,15,None
CANINE001,7.2547,06-01-2021,7,Sleeping,0,107,3.0,26.2,0.0,0.0,15,None
CANINE001,7.2547,06-01-2021,8,Sleeping,0,111,2.0,24.7,0.0,0.0,16,None
CANINE001,7.2547,06-01-2021,9,Eating,343,110,13.0,24.6,135.6,108.3,21,None
CANINE001,7.2547,06-01-2021,10,Walking,2720,127,80.9,33.1,0.0,0.0,34,Medium
CANINE001,7.2547,06-01-2021,11,Normal,411,114,13.9,27.1,0.0,55.7,24,Low
CANINE001,7.2547,06-01-2021,12,Normal,187,108,6.4,29.0,0.0,56.1,22,Low
CANINE001,7.2547,06-01-2021,13,Normal,266,104,10.7,26.6,0.0,22.1,23,None
CANINE001,7.2547,06-01-2021,14,Normal,350,105,11.2,27.6,0.0,48.9,22,Low
CANINE001,7.2547,06-01-2021,15,Normal,575,110,17.7,28.4,0.0,24.2,22,None
CANINE001,7.2547,06-01-2021,16,Sleeping,0,107,2.0,25.7,0.0,0.0,17,None
CANINE001,7.2547,06-01-2021,17,Eating,214,105,9.2,26.1,137.8,157.2,25,None
CANINE001,7.2547,06-01-2021,18,Normal,304,113,9.8,26.7,0.0,5.5,22,Low
CANINE001,7.2547,06-01-2021,19,Playing,1280,133,40.1,29.4,0.0,0.0,28,High
CANINE001,7.2547,06-01-2021,20,Walking,1574,132,46.7,31.5,0.0,0.0,37,Medium
CANINE001,7.2547,06-01-2021,21,Normal,422,106,14.2,25.9,0.0,22.3,25,Low
CANINE001,7.2547,06-01-2021,22,Sleeping,0,111,1.0,26.0,0.0,0.0,17,None
CANINE001,7.2547,06-01-2021,23,Sleeping,0,106,3.0,26.2,0.0,0.0,15,None
CANINE001,7.2517,07-01-2021,0,Sleeping,0,113,3.0,26.9,0.0,0.0,15,None
CANINE001,7.2517,07-01-2021,1,Sleeping,0,104,2.0,26.2,0.0,0.0,20,None
CANINE001,7.2517,07-01-2021,2,Sleeping,0,103,1.0,27.0,0.0,0.0,16,None
CANINE001,7.2517,07-01-2021,3,Sleeping,0,104,2.0,27.5,0.0,0.0,18,None
CANINE001,7.2517,07-01-2021,4,Sleeping,0,110,3.0,25.0,0.0,0.0,20,None
CANINE001,7.2517,07-01-2021,5,Sleeping,0,103,2.0,25.3,0.0,0.0,20,None
CANINE001,7.2517,07-01-2021,6,Sleeping,0,105,2.0,25.2,0.0,0.0,16,None
CANINE001,7.2517,07-01-2021,7,Eating,302,116,11.8,28.6,192.8,78.5,21,None
CANINE001,7.2517,07-01-2021,8,Walking,1687,120,50.9,32.9,0.0,0.0,38,Low
CANINE001,7.2517,07-01-2021,9,Sleeping,0,111,3.0,25.8,0.0,0.0,18,None
CANINE001,7.2517,07-01-2021,10,Normal,461,113,14.4,27.1,0.0,24.0,28,None
CANINE001,7.2517,07-01-2021,11,Sleeping,0,104,3.0,27.4,0.0,0.0,20,None
CANINE001,7.2517,07-01-2021,12,Sleeping,0,109,3.0,24.8,0.0,0.0,17,None
CANINE001,7.2517,07-01-2021,13,Normal,360,109,11.4,25.6,0.0,11.7,18,Low
CANINE001,7.2517,07-01-2021,14,Sleeping,0,106,1.0,24.6,0.0,0.0,20,None
CANINE001,7.2517,07-01-2021,15,Sleeping,0,105,2.0,24.7,0.0,0.0,16,None
CANINE001,7.2517,07-01-2021,16,Eating,163,113,6.7,28.4,165.6,77.9,24,None
CANINE001,7.2517,07-01-2021,17,Playing,1469,136,45.6,29.9,0.0,0.0,30,High
CANINE001,7.2517,07-01-2021,18,Playing,1708,128,51.5,31.2,0.0,0.0,23,Low
CANINE001,7.2517,07-01-2021,19,Normal,325,110,12.4,25.2,0.0,10.9,25,None
CANINE001,7.2517,07-01-2021,20,Walking,2798,115,83.2,32.0,0.0,0.0,35,Low
CANINE001,7.2517,07-01-2021,21,Sleeping,0,108,2.0,27.4,0.0,0.0,17,None
CANINE001,7.2517,07-01-2021,22,Sleeping,0,111,2.0,25.9,0.0,0.0,17,None
CANINE001,7.2517,07-01-2021,23,Sleeping,0,109,3.0,25.8,0.0,0.0,15,None
CANINE001,7.2564,08-01-2021,0,Sleeping,0,112,3.0,26.1,0.0,0.0,17,None
CANINE001,7.2564,08-01-2021,1,Sleeping,0,109,2.0,25.6,0.0,0.0,16,None
CANINE001,7.2564,08-01-2021,2,Sleeping,0,102,3.0,25.4,0.0,0.0,15,None
CANINE001,7.2564,08-01-2021,3,Sleeping,0,108,3.0,26.4,0.0,0.0,17,None
CANINE001,7.2564,08-01-2021,4,Sleeping,0,110,1.0,26.5,0.0,0.0,20,None
CANINE001,7.2564,08-01-2021,5,Sleeping,0,107,1.0,25.8,0.0,0.0,17,None
CANINE001,7.2564,08-01-2021,6,Sleeping,0,107,2.0,27.4,0.0,0.0,16,None
CANINE001,7.2564,08-01-2021,7,Sleeping,0,110,1.0,26.3,0.0,0.0,20,None
CANINE001,7.2564,08-01-2021,8,Sleeping,0,102,2.0,25.2,0.0,0.0,16,None
CANINE001,7.2564,08-01-2021,9,Eating,225,117,9.5,26.6,104.9,70.6,25,None
CANINE001,7.2564,08-01-2021,10,Walking,2711,111,81.7,31.8,0.0,0.0,32,Low
CANINE001,7.2564,08-01-2021,11,Normal,413,106,13.0,27.0,0.0,52.3,23,None
CANINE001,7.2564,08-01-2021,12,Normal,370,113,11.7,28.0,0.0,39.5,21,None
CANINE001,7.2564,08-01-2021,13,Playing,1008,129,32.3,30.0,0.0,0.0,37,Medium
CANINE001,7.2564,08-01-2021,14,Sleeping,0,110,1.0,25.7,0.0,0.0,19,None
CANINE001,7.2564,08-01-2021,15,Normal,377,111,13.9,27.5,0.0,17.5,20,None
CANINE001,7.2564,08-01-2021,16,Eating,311,115,11.0,24.8,203.2,93.5,19,None
CANINE001,7.2564,08-01-2021,17,Playing,978,118,31.4,30.3,0.0,0.0,21,Low
CANINE001,7.2564,08-01-2021,18,Normal,293,112,10.5,27.0,0.0,2.3,19,Low
CANINE001,7.2564,08-01-2021,19,Walking,2554,117,76.1,29.7,0.0,0.0,38,Medium
CANINE001,7.2564,08-01-2021,20,Normal,246,115,8.1,28.1,0.0,35.1,23,Low
CANINE001,7.2564,08-01-2021,21,Normal,444,105,13.9,28.1,0.0,32.4,20,Low
CANINE001,7.2564,08-01-2021,22,Sleeping,0,106,2.0,25.7,0.0,0.0,20,None
CANINE001,7.2564,08-01-2021,23,Sleeping,0,104,3.0,27.4,0.0,0.0,15,None
CANINE001,7.2526,09-01-2021,0,Sleeping,0,107,3.0,25.1,0.0,0.0,18,None
CANINE001,7.2526,09-01-2021,1,Sleeping,0,104,2.0,25.0,0.0,0.0,20,None
CANINE001,7.2526,09-01-2021,2,Sleeping,0,110,1.0,25.1,0.0,0.0,16,None
CANINE001,7.2526,09-01-2021,3,Sleeping,0,107,2.0,26.0,0.0,0.0,17,None
CANINE001,7.2526,09-01-2021,4,Sleeping,0,110,3.0,25.4,0.0,0.0,18,None
CANINE001,7.2526,09-01-2021,5,Sleeping,0,107,1.0,24.9,0.0,0.0,19,None
CANINE001,7.2526,09-01-2021,6,Sleeping,0,106,1.0,26.5,0.0,0.0,19,None
CANINE001,7.2526,09-01-2021,7,Sleeping,0,109,2.0,25.1,0.0,0.0,18,None
CANINE001,7.2526,09-01-2021,8,Sleeping,0,107,2.0,26.9,0.0,0.0,20,None
CANINE001,7.2526,09-01-2021,9,Walking,2062,133,61.8,30.5,0.0,0.0,32,Low
CANINE001,7.2526,09-01-2021,10,Eating,161,104,6.7,25.9,200.2,135.3,27,None
CANINE001,7.2526,09-01-2021,11,Normal,210,114,8.1,29.3,0.0,1.8,17,None
CANINE001,7.2526,09-01-2021,12,Sleeping,0,108,2.0,25.1,0.0,0.0,17,None
CANINE001,7.2526,09-01-2021,13,Sleeping,0,104,1.0,25.4,0.0,0.0,19,None
CANINE001,7.2526,09-01-2021,14,Walking,2723,123,80.0,33.7,0.0,0.0,29,None
CANINE001,7.2526,09-01-2021,15,Walking,2417,132,73.1,29.8,0.0,0.0,30,Low
CANINE001,7.2526,09-01-2021,16,Walking,2438,125,73.7,29.8,0.0,0.0,31,Low
CANINE001,7.2526,09-01-2021,17,Normal,268,113,9.8,26.2,0.0,26.3,19,Low
CANINE001,7.2526,09-01-2021,18,Normal,105,112,4.0,27.5,0.0,49.8,18,Low
CANINE001,7.2526,09-01-2021,19,Eating,231,113,9.7,28.0,200.2,106.6,25,None
CANINE001,7.2526,09-01-2021,20,Playing,753,128,24.8,30.7,0.0,0.0,28,High
CANINE001,7.2526,09-01-2021,21,Playing,593,119,20.2,30.8,0.0,0.0,32,High
CANINE001,7.2526,09-01-2021,22,Normal,426,102,13.4,25.8,0.0,23.2,20,Low
CANINE001,7.2526,09-01-2021,23,Sleeping,0,111,1.0,25.4,0.0,0.0,19,None
CANINE001,7.2519,10-01-2021,0,Sleeping,0,107,1.0,27.2,0.0,0.0,19,None
CANINE001,7.2519,10-01-2021,1,Sleeping,0,102,3.0,25.0,0.0,0.0,15,None
CANINE001,7.2519,10-01-2021,2,Sleeping,0,112,3.0,25.4,0.0,0.0,17,None
CANINE001,7.2519,10-01-2021,3,Sleeping,0,107,2.0,26.0,0.0,0.0,17,None
CANINE001,7.2519,10-01-2021,4,Sleeping,0,104,2.0,25.8,0.0,0.0,20,None
CANINE001,7.2519,10-01-2021,5,Sleeping,0,103,1.0,25.8,0.0,0.0,20,None
CANINE001,7.2519,10-01-2021,6,Sleeping,0,103,2.0,26.4,0.0,0.0,19,None
CANINE001,7.2519,10-01-2021,7,Sleeping,0,112,1.0,26.2,0.0,0.0,17,None
CANINE001,7.2519,10-01-2021,8,Sleeping,0,104,1.0,25.5,0.0,0.0,18,None
CANINE001,7.2519,10-01-2021,9,Walking,1700,128,51.3,32.0,0.0,0.0,37,Low
CANINE001,7.2519,10-01-2021,10,Eating,262,107,10.6,26.9,174.5,144.7,21,None
CANINE001,7.2519,10-01-2021,11,Normal,291,110,10.4,26.8,0.0,39.5,22,None
CANINE001,7.2519,10-01-2021,12,Normal,404,105,13.7,25.4,0.0,9.7,21,Low
CANINE001,7.2519,10-01-2021,13,Sleeping,0,108,3.0,25.5,0.0,0.0,16,None
CANINE001,7.2519,10-01-2021,14,Walking,2388,124,72.3,29.5,0.0,0.0,32,High
CANINE001,7.2519,10-01-2021,15,Walking,2826,117,83.0,29.1,0.0,0.0,28,None
CANINE001,7.2519,10-01-2021,16,Walking,1030,133,32.9,31.2,0.0,0.0,28,High
CANINE001,7.2519,10-01-2021,17,Sleeping,0,110,1.0,25.7,0.0,0.0,18,None
CANINE001,7.2519,10-01-2021,18,Normal,378,106,14.0,27.2,0.0,37.8,24,Low
CANINE001,7.2519,10-01-2021,19,Eating,282,111,10.2,28.0,159.8,39.8,16,None
CANINE001,7.2519,10-01-2021,20,Normal,370,112,12.7,26.7,0.0,24.1,25,None
CANINE001,7.2519,10-01-2021,21,Eating,255,105,9.4,28.8,179.2,120.3,23,None
CANINE001,7.2519,10-01-2021,22,Normal,593,112,19.2,26.5,0.0,2.7,20,Low
CANINE001,7.2519,10-01-2021,23,Sleeping,0,104,2.0,26.4,0.0,0.0,20,None
CANINE001,7.2716,11-01-2021,0,Sleeping,0,112,2.0,26.5,0.0,0.0,20,None
CANINE001,7.2716,11-01-2021,1,Sleeping,0,107,1.0,25.2,0.0,0.0,20,None
CANINE001,7.2716,11-01-2021,2,Sleeping,0,110,3.0,26.8,0.0,0.0,19,None
CANINE001,7.2716,11-01-2021,3,Sleeping,0,109,3.0,24.8,0.0,0.0,19,None
CANINE001,7.2716,11-01-2021,4,Sleeping,0,103,2.0,26.0,0.0,0.0,20,None
CANINE001,7.2716,11-01-2021,5,Sleeping,0,104,2.0,27.5,0.0,0.0,17,None
CANINE001,7.2716,11-01-2021,6,Sleeping,0,109,1.0,25.1,0.0,0.0,15,None
CANINE001,7.2716,11-01-2021,7,Eating,164,112,6.8,26.1,164.1,80.5,24,None
CANINE001,7.2716,11-01-2021,8,Walking,3204,134,94.2,33.7,0.0,0.0,37,Medium
CANINE001,7.2716,11-01-2021,9,Normal,462,112,15.4,26.5,0.0,40.7,21,None
CANINE001,7.2716,11-01-2021,10,Sleeping,0,110,1.0,24.9,0.0,0.0,17,None
CANINE001,7.2716,11-01-2021,11,Sleeping,0,106,3.0,24.8,0.0,0.0,19,None
CANINE001,7.2716,11-01-2021,12,Sleeping,0,104,3.0,27.2,0.0,0.0,17,None
CANINE001,7.2716,11-01-2021,13,Playing,1284,130,39.3,30.1,0.0,0.0,32,Low
CANINE001,7.2716,11-01-2021,14,Normal,387,107,12.3,29.5,0.0,33.1,22,Low
CANINE001,7.2716,11-01-2021,15,Sleeping,0,102,2.0,27.1,0.0,0.0,19,None
CANINE001,7.2716,11-01-2021,16,Playing,1584,132,48.1,30.6,0.0,0.0,28,Medium
CANINE001,7.2716,11-01-2021,17,Eating,333,102,11.7,27.8,156.2,67.1,23,None
CANINE001,7.2716,11-01-2021,18,Sleeping,0,107,2.0,24.6,0.0,0.0,17,None
CANINE001,7.2716,11-01-2021,19,Walking,1999,114,61.1,33.2,0.0,0.0,26,High
CANINE001,7.2716,11-01-2021,20,Normal,154,107,6.5,25.6,0.0,45.0,23,None
CANINE001,7.2716,11-01-2021,21,Playing,775,131,23.5,30.1,0.0,0.0,34,Medium
CANINE001,7.2716,11-01-2021,22,Sleeping,0,108,1.0,24.8,0.0,0.0,15,None
CANINE001,7.2716,11-01-2021,23,Sleeping,0,106,2.0,25.9,0.0,0.0,17,None
CANINE001,7.2682,12-01-2021,0,Sleeping,0,104,2.0,25.8,0.0,0.0,17,None
CANINE001,7.2682,12-01-2021,1,Sleeping,0,105,2.0,25.8,0.0,0.0,16,None
CANINE001,7.2682,12-01-2021,2,Sleeping,0,103,1.0,24.9,0.0,0.0,16,None
CANINE001,7.2682,12-01-2021,3,Sleeping,0,105,3.0,25.7,0.0,0.0,19,None
CANINE001,7.2682,12-01-2021,4,Sleeping,0,101,3.0,26.1,0.0,0.0,19,None
CANINE001,7.2682,12-01-2021,5,Sleeping,0,110,1.0,25.0,0.0,0.0,16,None
CANINE001,7.2682,12-01-2021,6,Sleeping,0,106,3.0,26.0,0.0,0.0,16,None
CANINE001,7.2682,12-01-2021,7,Sleeping,0,110,1.0,25.5,0.0,0.0,15,None
CANINE001,7.2682,12-01-2021,8,Sleeping,0,105,1.0,25.8,0.0,0.0,16,None
CANINE001,7.2682,12-01-2021,9,Eating,176,113,7.1,27.4,148.0,140.2,21,None
CANINE001,7.2682,12-01-2021,10,Walking,1296,131,39.7,32.1,0.0,0.0,33,Medium
CANINE001,7.2682,12-01-2021,11,Sleeping,0,105,2.0,27.4,0.0,0.0,18,None
CANINE001,7.2682,12-01-2021,12,Normal,481,114,15.0,29.5,0.0,35.2,19,Low
CANINE001,7.2682,12-01-2021,13,Normal,443,105,14.9,26.9,0.0,47.8,18,None
CANINE001,7.2682,12-01-2021,14,Normal,402,105,14.7,29.0,0.0,47.8,28,Low
CANINE001,7.2682,12-01-2021,15,Normal,269,111,9.8,26.8,0.0,26.0,16,None
